"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Census metropolitan areas","","Rate","257","units ","0","v733334","1","3.9","","","","1"
"1971","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","6.7","","","","1"
"1971","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","5.1","","","","1"
"1971","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","0.0","","","","1"
"1971","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","3.7","","","","1"
"1971","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","2.1","","","","1"
"1971","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","0.0","","","","1"
"1971","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","2.5","","","","1"
"1971","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","4.4","","","t","1"
"1971","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","1.8","","","","1"
"1971","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","1.6","","","","1"
"1971","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","4.3","","","","1"
"1971","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","3.9","","","","1"
"1971","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","0.0","","","","1"
"1971","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.0","","","","1"
"1971","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","0.0","","","","1"
"1971","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.0","","","","1"
"1971","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","3.6","","","","1"
"1971","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","2.8","","","","1"
"1971","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.0","","","","1"
"1971","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","1.9","","","","1"
"1971","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","5.7","","","","1"
"1972","Census metropolitan areas","","Rate","257","units ","0","v733334","1","2.7","","","","1"
"1972","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","6.6","","","","1"
"1972","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","6.0","","","","1"
"1972","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","5.4","","","","1"
"1972","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","1.7","","","","1"
"1972","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","1.8","","","","1"
"1972","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","1.6","","","","1"
"1972","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","4.4","","","","1"
"1972","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","2.9","","","t","1"
"1972","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","1.8","","","","1"
"1972","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","1.6","","","","1"
"1972","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","3.3","","","","1"
"1972","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","4.5","","","","1"
"1972","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","1.0","","","","1"
"1972","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","3.4","","","","1"
"1972","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.0","","","","1"
"1972","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","0.7","","","","1"
"1972","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","1.7","","","","1"
"1972","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.5","","","","1"
"1972","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","0.9","","","","1"
"1972","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","2.5","","","","1"
"1972","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.6","","","","1"
"1972","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.8","","","","1"
"1972","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","2.6","","","","1"
"1972","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","4.4","","","","1"
"1973","Census metropolitan areas","","Rate","257","units ","0","v733334","1","2.2","","","","1"
"1973","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","7.9","","","","1"
"1973","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","5.3","","","","1"
"1973","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","10.9","","","","1"
"1973","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","2.3","","","","1"
"1973","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","2.3","","","","1"
"1973","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","3.8","","","","1"
"1973","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","3.9","","","","1"
"1973","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","1.9","","","t","1"
"1973","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","2.0","","","","1"
"1973","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","2.0","","","","1"
"1973","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","2.0","","","","1"
"1973","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","2.8","","","","1"
"1973","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","1.0","","","","1"
"1973","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","4.7","","","","1"
"1973","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.2","","","","1"
"1973","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","0.8","","","","1"
"1973","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","0.7","","","","1"
"1973","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.3","","","","1"
"1973","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","1.0","","","","1"
"1973","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","1.5","","","","1"
"1973","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.4","","","","1"
"1973","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.3","","","","1"
"1973","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","2.0","","","","1"
"1973","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","3.5","","","","1"
"1974","Census metropolitan areas","","Rate","257","units ","0","v733334","1","1.2","","","","1"
"1974","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","1.1","","","","1"
"1974","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","0.8","","","","1"
"1974","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","5.1","","","","1"
"1974","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","2.3","","","","1"
"1974","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","1.5","","","","1"
"1974","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","2.5","","","","1"
"1974","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","2.2","","","","1"
"1974","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","1.2","","","t","1"
"1974","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","2.8","","","","1"
"1974","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","2.9","","","","1"
"1974","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","2.5","","","","1"
"1974","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","1.6","","","","1"
"1974","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","0.1","","","","1"
"1974","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","3.9","","","","1"
"1974","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","0.3","","","","1"
"1974","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","1.1","","","","1"
"1974","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","1.2","","","","1"
"1974","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.2","","","","1"
"1974","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","0.5","","","","1"
"1974","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","1.1","","","","1"
"1974","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.1","","","","1"
"1974","Victoria, British Columbia","2011S0503935","Rate","257","units ","0","v733352","26","0.1","","","","1"
"1974","Windsor, Ontario","2011S0503559","Rate","257","units ","0","v733353","27","1.7","","","","1"
"1974","Winnipeg, Manitoba","2011S0503602","Rate","257","units ","0","v733354","28","1.7","","","","1"
"1975","Census metropolitan areas","","Rate","257","units ","0","v733334","1","1.2","","","","1"
"1975","Calgary, Alberta","2011S0503825","Rate","257","units ","0","v733335","2","0.4","","","","1"
"1975","Edmonton, Alberta","2011S0503835","Rate","257","units ","0","v733356","4","0.3","","","","1"
"1975","Greater Sudbury, Ontario","2011S0503580","Rate","257","units ","0","v733346","21","1.2","","","","1"
"1975","Halifax, Nova Scotia","2011S0503205","Rate","257","units ","0","v733357","5","1.8","","","","1"
"1975","Hamilton, Ontario","2011S0503537","Rate","257","units ","0","v733358","6","3.0","","","","1"
"1975","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Rate","257","units ","0","v733359","7","2.3","","","","1"
"1975","London, Ontario","2011S0503555","Rate","257","units ","0","v733360","8","2.4","","","","1"
"1975","Montréal excluding Saint-Jérôme, Quebec","","Rate","257","units ","0","v733361","29","0.7","","","t","1"
"1975","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Rate","257","units ","0","v733336","11","2.7","","","","1"
"1975","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Rate","257","units ","0","v733337","12","2.3","","","","1"
"1975","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2011S050524505","Rate","257","units ","0","v733338","13","4.9","","","","1"
"1975","Québec, Quebec","2011S0503421","Rate","257","units ","0","v733339","14","1.4","","","","1"
"1975","Regina, Saskatchewan","2011S0503705","Rate","257","units ","0","v733340","15","0.0","","","","1"
"1975","St. Catharines-Niagara, Ontario","2011S0503539","Rate","257","units ","0","v733341","16","2.9","","","","1"
"1975","St. John's, Newfoundland and Labrador","2011S0503001","Rate","257","units ","0","v733343","18","3.7","","","","1"
"1975","Saguenay, Quebec","2011S0503408","Rate","257","units ","0","v733348","3","1.1","","","","1"
"1975","Saint John, New Brunswick","2011S0503310","Rate","257","units ","0","v733342","17","0.6","","","","1"
"1975","Saskatoon, Saskatchewan","2011S0503725","Rate","257","units ","0","v733344","19","0.0","","","","1"
"1975","Thunder Bay, Ontario","2011S0503595","Rate","257","units ","0","v733347","22","0.5","","","","1"
"1975","Toronto, Ontario","2011S0503535","Rate","257","units ","0","v733349","23","1.8","","","","1"
"1975","Vancouver, British Columbia","2011S0503933","Rate","257","units ","0","v733351","25","0.1","","","","1"
