When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
01/01/1962,All Others,261,,,,,,,,,,
01/01/1962,Total,635,449,4576,75,16,22,65,1593,3,1603,115
01/01/1962,Single Detached,374,,,,,,,,,,
02/01/1962,Total,573,865,3417,65,5,8,35,737,1,1059,69
02/01/1962,All Others,117,,,,,,,,,,
02/01/1962,Single Detached,456,,,,,,,,,,
03/01/1962,All Others,211,,,,,,,,,,
03/01/1962,Single Detached,313,,,,,,,,,,
03/01/1962,Total,524,672,5484,218,9,17,55,1475,0,2441,73
04/01/1962,All Others,248,,,,,,,,,,
04/01/1962,Total,826,782,8547,225,77,22,123,3152,0,3147,193
04/01/1962,Single Detached,578,,,,,,,,,,
05/01/1962,Single Detached,659,,,,,,,,,,
05/01/1962,All Others,702,,,,,,,,,,
05/01/1962,Total,1361,777,9847,256,110,49,153,4188,0,2621,332
06/01/1962,Total,1079,1067,12011,553,191,44,456,4542,10,3712,357
06/01/1962,Single Detached,727,,,,,,,,,,
06/01/1962,All Others,352,,,,,,,,,,
07/01/1962,Single Detached,779,,,,,,,,,,
07/01/1962,All Others,537,,,,,,,,,,
07/01/1962,Total,1316,789,11023,286,194,28,153,4378,6,3559,314
08/01/1962,Total,1395,989,9861,476,159,31,103,3757,6,2655,290
08/01/1962,All Others,568,,,,,,,,,,
08/01/1962,Single Detached,827,,,,,,,,,,
09/01/1962,Total,906,922,9239,280,136,57,168,3178,2,3288,302
09/01/1962,Single Detached,605,,,,,,,,,,
09/01/1962,All Others,301,,,,,,,,,,
10/01/1962,All Others,554,,,,,,,,,,
10/01/1962,Total,1089,821,10660,286,206,79,145,3596,6,4129,303
10/01/1962,Single Detached,535,,,,,,,,,,
11/01/1962,All Others,556,,,,,,,,,,
11/01/1962,Total,1034,831,9970,246,111,45,218,3804,4,3460,217
11/01/1962,Single Detached,478,,,,,,,,,,
12/01/1962,Single Detached,416,,,,,,,,,,
12/01/1962,All Others,299,,,,,,,,,,
12/01/1962,Total,715,913,7373,95,79,69,84,2738,0,2515,165
01/01/1963,Total,265,603,4378,72,10,25,104,1548,1,1694,56
01/01/1963,All Others,61,,,,,,,,,,
01/01/1963,Single Detached,204,,,,,,,,,,
02/01/1963,Total,416,750,3817,197,5,26,115,890,0,1317,101
02/01/1963,All Others,100,,,,,,,,,,
02/01/1963,Single Detached,316,,,,,,,,,,
03/01/1963,Single Detached,338,,,,,,,,,,
03/01/1963,Total,572,941,5845,174,0,3,32,1809,0,2208,106
03/01/1963,All Others,234,,,,,,,,,,
04/01/1963,All Others,436,,,,,,,,,,
04/01/1963,Single Detached,419,,,,,,,,,,
04/01/1963,Total,855,778,8064,231,13,21,97,3629,0,2230,210
05/01/1963,All Others,493,,,,,,,,,,
05/01/1963,Single Detached,495,,,,,,,,,,
05/01/1963,Total,988,947,12240,870,110,66,209,5659,1,3065,325
06/01/1963,Single Detached,472,,,,,,,,,,
06/01/1963,All Others,575,,,,,,,,,,
06/01/1963,Total,1047,996,11759,372,140,52,128,5329,12,3386,297
07/01/1963,Total,602,1384,12514,500,155,72,222,5699,6,3608,266
07/01/1963,Single Detached,387,,,,,,,,,,
07/01/1963,All Others,215,,,,,,,,,,
08/01/1963,Single Detached,374,,,,,,,,,,
08/01/1963,All Others,670,,,,,,,,,,
08/01/1963,Total,1044,888,10925,292,107,50,137,5004,5,3133,265
